Total Samples: 624
KNN Accuracy: 0.8830
Top-1 Accuracy: 0.8269
Mean Precision@5: 0.8609

Test-1: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\IM-0001-0001.jpeg
Test-214: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0353-0001.jpeg
Test-215: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0354-0001.jpeg
Test-216: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0357-0001.jpeg
Test-217: True=0, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0359-0001.jpeg
Test-218: True=0, Top-1=1, P@5=0.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0360-0001.jpeg
Test-219: True=0, Top-1=0, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0361-0001.jpeg
Test-220: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0362-0001.jpeg
Test-221: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0364-0001.jpeg
Test-222: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0366-0001.jpeg
Test-223: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0368-0001.jpeg
Test-224: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0369-0001.jpeg
Test-225: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0370-0001.jpeg
Test-226: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0372-0001.jpeg
Test-227: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0373-0001.jpeg
Test-228: True=0, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0374-0001-0001.jpeg
Test-229: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0374-0001-0002.jpeg
Test-230: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0374-0001.jpeg
Test-231: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0376-0001.jpeg
Test-232: True=0, Top-1=0, P@5=1.00, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0378-0001.jpeg
Test-233: True=0, Top-1=0, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0380-0001.jpeg
Test-234: True=0, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\NORMAL\NORMAL2-IM-0381-0001.jpeg
Test-235: True=1, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_475.jpeg
Test-236: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_477.jpeg
Test-237: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_478.jpeg
Test-238: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_479.jpeg
Test-239: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_480.jpeg
Test-240: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_481.jpeg
Test-241: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person100_bacteria_482.jpeg
Test-242: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person101_bacteria_483.jpeg
Test-243: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person101_bacteria_484.jpeg
Test-244: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person101_bacteria_485.jpeg
Test-245: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person101_bacteria_486.jpeg
Test-246: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person102_bacteria_487.jpeg
Test-247: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person103_bacteria_488.jpeg
Test-248: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person103_bacteria_489.jpeg
Test-249: True=1, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\PNEUMONIA\person103_bacteria_490.jpeg
Test-250: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person104_bacteria_491.jpeg
Test-251: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person104_bacteria_492.jpeg
Test-252: True=1, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\PNEUMONIA\person108_bacteria_504.jpeg
Test-253: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person108_bacteria_506.jpeg
Test-254: True=1, Top-1=0, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person108_bacteria_507.jpeg
Test-255: True=1, Top-1=0, P@5=0.20, Path=./chest_xray_balanced\test\PNEUMONIA\person108_bacteria_511.jpeg
Test-256: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_512.jpeg
Test-257: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_513.jpeg
Test-258: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_517.jpeg
Test-259: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_519.jpeg
Test-260: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_522.jpeg
Test-261: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_523.jpeg
Test-262: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_526.jpeg
Test-263: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_527.jpeg
Test-264: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person109_bacteria_528.jpeg
Test-265: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person10_virus_35.jpeg
Test-266: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person110_bacteria_531.jpeg
Test-267: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person111_bacteria_533.jpeg
Test-268: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person111_bacteria_534.jpeg
Test-269: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person111_bacteria_535.jpeg
Test-270: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person111_bacteria_536.jpeg
Test-271: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person111_bacteria_537.jpeg
Test-272: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person112_bacteria_538.jpeg
Test-273: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person112_bacteria_539.jpeg
Test-274: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person113_bacteria_540.jpeg
Test-275: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person113_bacteria_541.jpeg
Test-276: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person113_bacteria_542.jpeg
Test-277: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person113_bacteria_543.jpeg
Test-278: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person114_bacteria_544.jpeg
Test-279: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person114_bacteria_545.jpeg
Test-280: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person114_bacteria_546.jpeg
Test-281: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person117_bacteria_553.jpeg
Test-282: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person117_bacteria_556.jpeg
Test-283: True=1, Top-1=0, P@5=0.00, Path=./chest_xray_balanced\test\PNEUMONIA\person117_bacteria_557.jpeg
Test-284: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person118_bacteria_559.jpeg
Test-285: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person118_bacteria_560.jpeg
Test-286: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person119_bacteria_565.jpeg
Test-287: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person119_bacteria_566.jpeg
Test-288: True=1, Top-1=0, P@5=0.00, Path=./chest_xray_balanced\test\PNEUMONIA\person119_bacteria_567.jpeg
Test-289: True=1, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\PNEUMONIA\person119_bacteria_568.jpeg
Test-290: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person11_virus_38.jpeg
Test-291: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person120_bacteria_570.jpeg
Test-292: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person120_bacteria_571.jpeg
Test-293: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person120_bacteria_572.jpeg
Test-294: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person120_bacteria_573.jpeg
Test-295: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person121_bacteria_575.jpeg
Test-296: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person121_bacteria_576.jpeg
Test-297: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person121_bacteria_578.jpeg
Test-298: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person121_bacteria_579.jpeg
Test-299: True=1, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\PNEUMONIA\person121_bacteria_580.jpeg
Test-300: True=1, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_581.jpeg
Test-301: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_582.jpeg
Test-302: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_583.jpeg
Test-303: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_584.jpeg
Test-304: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_585.jpeg
Test-305: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person122_bacteria_586.jpeg
Test-306: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person123_bacteria_587.jpeg
Test-307: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person124_bacteria_589.jpeg
Test-308: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person124_bacteria_590.jpeg
Test-309: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person124_bacteria_591.jpeg
Test-310: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person124_bacteria_592.jpeg
Test-311: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person125_bacteria_594.jpeg
Test-312: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person125_bacteria_595.jpeg
Test-313: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person126_bacteria_598.jpeg
Test-314: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person126_bacteria_599.jpeg
Test-315: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person126_bacteria_600.jpeg
Test-316: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person127_bacteria_602.jpeg
Test-317: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person127_bacteria_603.jpeg
Test-318: True=1, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person127_bacteria_604.jpeg
Test-319: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person128_bacteria_605.jpeg
Test-320: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person128_bacteria_606.jpeg
Test-321: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person128_bacteria_607.jpeg
Test-322: True=1, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person128_bacteria_608.jpeg
Test-323: True=1, Top-1=0, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person130_bacteria_623.jpeg
Test-324: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person130_bacteria_625.jpeg
Test-325: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person130_bacteria_626.jpeg
Test-326: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person130_bacteria_627.jpeg
Test-327: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person130_bacteria_628.jpeg
Test-328: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person131_bacteria_629.jpeg
Test-329: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person132_bacteria_632.jpeg
Test-330: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person133_bacteria_633.jpeg
Test-331: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person133_bacteria_634.jpeg
Test-332: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person133_bacteria_635.jpeg
Test-333: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person133_bacteria_637.jpeg
Test-334: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person133_bacteria_638.jpeg
Test-335: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person134_bacteria_640.jpeg
Test-336: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person134_bacteria_641.jpeg
Test-337: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person134_bacteria_642.jpeg
Test-338: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person134_bacteria_643.jpeg
Test-339: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person134_bacteria_644.jpeg
Test-340: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person135_bacteria_646.jpeg
Test-341: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person135_bacteria_647.jpeg
Test-342: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person136_bacteria_648.jpeg
Test-343: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person136_bacteria_649.jpeg
Test-344: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person136_bacteria_650.jpeg
Test-345: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person136_bacteria_652.jpeg
Test-346: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person136_bacteria_654.jpeg
Test-347: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person137_bacteria_655.jpeg
Test-348: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person138_bacteria_657.jpeg
Test-349: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person138_bacteria_658.jpeg
Test-350: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person138_bacteria_659.jpeg
Test-351: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_661.jpeg
Test-352: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_662.jpeg
Test-353: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_663.jpeg
Test-354: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_664.jpeg
Test-355: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_665.jpeg
Test-356: True=1, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\PNEUMONIA\person139_bacteria_666.jpeg
Test-357: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person140_bacteria_667.jpeg
Test-358: True=1, Top-1=0, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person140_bacteria_668.jpeg
Test-359: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person141_bacteria_670.jpeg
Test-360: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person141_bacteria_676.jpeg
Test-361: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person141_bacteria_677.jpeg
Test-362: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person141_bacteria_678.jpeg
Test-363: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person141_bacteria_681.jpeg
Test-364: True=1, Top-1=0, P@5=0.20, Path=./chest_xray_balanced\test\PNEUMONIA\person142_bacteria_682.jpeg
Test-365: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person142_bacteria_683.jpeg
Test-366: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person142_bacteria_684.jpeg
Test-367: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person143_bacteria_687.jpeg
Test-368: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person143_bacteria_688.jpeg
Test-369: True=1, Top-1=0, P@5=0.00, Path=./chest_xray_balanced\test\PNEUMONIA\person143_bacteria_689.jpeg
Test-370: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person144_bacteria_690.jpeg
Test-371: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person145_bacteria_696.jpeg
Test-372: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person146_bacteria_700.jpeg
Test-373: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person146_bacteria_703.jpeg
Test-374: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person146_bacteria_704.jpeg
Test-375: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person147_bacteria_705.jpeg
Test-376: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person147_bacteria_706.jpeg
Test-377: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person147_bacteria_707.jpeg
Test-378: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person147_bacteria_711.jpeg
Test-379: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person149_bacteria_713.jpeg
Test-380: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person14_virus_44.jpeg
Test-381: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person150_bacteria_715.jpeg
Test-382: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person150_bacteria_716.jpeg
Test-383: True=1, Top-1=1, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person150_bacteria_717.jpeg
Test-384: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person151_bacteria_718.jpeg
Test-385: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person152_bacteria_720.jpeg
Test-386: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person152_bacteria_721.jpeg
Test-387: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person152_bacteria_722.jpeg
Test-388: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person152_bacteria_723.jpeg
Test-389: True=1, Top-1=0, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person152_bacteria_724.jpeg
Test-390: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person153_bacteria_725.jpeg
Test-391: True=1, Top-1=0, P@5=0.00, Path=./chest_xray_balanced\test\PNEUMONIA\person153_bacteria_726.jpeg
Test-392: True=1, Top-1=1, P@5=0.20, Path=./chest_xray_balanced\test\PNEUMONIA\person154_bacteria_728.jpeg
Test-393: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person155_bacteria_729.jpeg
Test-394: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person155_bacteria_730.jpeg
Test-395: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person155_bacteria_731.jpeg
Test-396: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person157_bacteria_735.jpeg
Test-397: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person157_bacteria_739.jpeg
Test-398: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person157_bacteria_740.jpeg
Test-399: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person158_bacteria_742.jpeg
Test-400: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person158_bacteria_743.jpeg
Test-401: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person158_bacteria_744.jpeg
Test-402: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person158_bacteria_745.jpeg
Test-403: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person159_bacteria_746.jpeg
Test-404: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person159_bacteria_747.jpeg
Test-405: True=1, Top-1=0, P@5=0.00, Path=./chest_xray_balanced\test\PNEUMONIA\person15_virus_46.jpeg
Test-406: True=1, Top-1=1, P@5=0.60, Path=./chest_xray_balanced\test\PNEUMONIA\person1608_virus_2786.jpeg
Test-407: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1610_virus_2793.jpeg
Test-408: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1612_virus_2797.jpeg
Test-409: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1612_virus_2798.jpeg
Test-410: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1613_virus_2799.jpeg
Test-411: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1614_virus_2800.jpeg
Test-412: True=1, Top-1=0, P@5=0.40, Path=./chest_xray_balanced\test\PNEUMONIA\person1615_virus_2801.jpeg
Test-413: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1616_virus_2802.jpeg
Test-414: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1618_virus_2805.jpeg
Test-415: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1619_virus_2806.jpeg
Test-416: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person161_bacteria_757.jpeg
Test-417: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person161_bacteria_759.jpeg
Test-418: True=1, Top-1=1, P@5=0.80, Path=./chest_xray_balanced\test\PNEUMONIA\person161_bacteria_762.jpeg
Test-419: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1620_virus_2807.jpeg
Test-420: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1622_virus_2810.jpeg
Test-421: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1623_virus_2813.jpeg
Test-422: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1625_virus_2817.jpeg
Test-423: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1626_virus_2818.jpeg
Test-424: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1627_virus_2819.jpeg
Test-425: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1628_virus_2821.jpeg
Test-426: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1628_virus_2822.jpeg
Test-427: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1629_virus_2823.jpeg
Test-428: True=1, Top-1=1, P@5=1.00, Path=./chest_xray_balanced\test\PNEUMONIA\person1631_virus_2826.jpeg
